date,symbol,compound_b,neg_b,neu_b,pos_b,compound_t,neg_t,neu_t,pos_t
2020-09-16,AZN,0.2656,1.184,13.455999999999996,1.3599999999999997,-5.779200000000002,3.2000000000000006,12.800000000000002,0.0
2020-09-17,AZN,27.5072,2.4480000000000004,41.44000000000001,4.095999999999998,7.476799999999999,2.5280000000000005,56.83200000000004,4.624
2020-09-17,JNJ,0.0,0.0,1.0,0.0,-0.836,0.294,0.706,0.0
2020-09-17,MRNA,47.1808,3.375999999999997,133.00799999999992,7.6,-5.027199999999998,6.784000000000002,131.37599999999998,5.823999999999999
2020-09-17,PFE,15.9264,0.11200000000000004,14.288000000000004,1.6159999999999999,5.0912,0.0,13.232,2.7680000000000002
2020-09-18,AZN,-0.08440000000000003,0.16899999999999998,2.667,0.162,-0.5453,0.37000000000000005,2.314,0.316
2020-09-18,JNJ,0.995,0.013,0.813,0.174,0.0,0.0,1.0,0.0
2020-09-18,MRNA,0.9919,0.015,1.892,0.093,0.0,0.0,3.0,0.0
2020-09-18,PFE,2.973,0.11399999999999999,2.5589999999999997,0.32699999999999996,0.0,0.0,3.0,0.0
2020-09-20,MRNA,0.9879,0.063,0.831,0.106,0.0,0.0,1.0,0.0
2020-09-21,AZN,-0.9197999999999998,0.538,7.728999999999999,0.733,-0.24530000000000007,1.195,7.808000000000002,0.9969999999999999
2020-09-21,JNJ,0.0,0.0,0.0,0.0,-0.6705,0.22,0.692,0.088
2020-09-21,MRNA,0.0,0.0,0.0,0.0,-0.3818,0.197,0.662,0.141
2020-09-22,AZN,0.9672,0.033,1.896,0.071,0.8856,0.148,1.369,0.483
2020-09-22,MRNA,0.9868,0.039,1.873,0.088,0.9329,0.0,1.6400000000000001,0.36
2020-09-22,PFE,0.0,0.0,1.0,0.0,0.1027,0.0,0.896,0.104
2020-09-23,AZN,0.8737999999999999,0.051000000000000004,2.794,0.155,0.1764,0.117,2.731,0.151
2020-09-23,JNJ,5.838799999999999,0.135,5.199,0.6669999999999999,0.49829999999999997,0.0,6.798,0.202
2020-09-23,MRNA,0.0,0.0,1.0,0.0,0.3629,0.177,2.567,0.256
2020-09-23,PFE,0.1531,0.032,0.941,0.027,0.3182,0.0,1.887,0.113
2020-09-24,AZN,4.425,0.127,5.437,0.434,-0.13930000000000003,0.56,6.0,0.44
2020-09-24,JNJ,0.9537,0.062,1.823,0.116,-0.3182,0.198,1.658,0.144
2020-09-24,MRNA,0.0,0.0,0.0,0.0,0.4215,0.164,0.571,0.264
2020-09-24,PFE,0.988,0.033,1.891,0.076,0.36569999999999997,0.152,2.612,0.236
2020-09-25,AZN,0.8442,0.042,2.873,0.085,0.6148,0.174,4.565,0.261
2020-09-25,JNJ,0.9925,0.017,1.85,0.133,0.5267,0.0,1.839,0.161
2020-09-25,MRNA,2.9114,0.10200000000000001,2.509,0.389,1.3065,0.0,3.435,0.565
2020-09-26,AZN,0.9676,0.057,0.839,0.104,0.0,0.0,1.0,0.0
2020-09-26,MRNA,0.04180000000000006,0.082,1.746,0.17300000000000001,0.0,0.0,2.0,0.0
2020-09-28,MRNA,0.9413,0.0,0.929,0.071,0.0,0.0,1.0,0.0
